index,market,horizon,n,mean_vol_during,mean_vol_after,mean_after_minus_during,median_after_minus_during,decline_rate,paired_ttest_p,wilcoxon_p
NIKKEI225,Japan,post10,99,0.21011751217512095,0.20900754796606977,-0.0011099642090511975,-0.004313815886444652,0.5353535353535354,0.9000540109887498,0.6325294268306039
NIKKEI225,Japan,post20,99,0.21011751217512095,0.20966513844003815,-0.000452373735082877,-0.0034810929733127827,0.5252525252525253,0.9557496433003926,0.5717834021641164
NIKKEI225,Japan,post60,99,0.21011751217512095,0.21087152068468074,0.0007540085095597728,0.004486977593131061,0.48484848484848486,0.9265800115581491,0.9166069635970141
SP500,US,post10,99,0.1625200151631226,0.1713713533314082,0.00885133816828559,-0.0013977206463317016,0.5050505050505051,0.36164210165315336,0.8862097194883591
SP500,US,post20,99,0.1625200151631226,0.16545178607730215,0.002931770914179525,0.0007132005342567749,0.494949494949495,0.7016133130334958,0.8042809730158764
SP500,US,post60,99,0.1625200151631226,0.16115945026297737,-0.0013605649001452718,0.009341346101435388,0.4444444444444444,0.8369755518554269,0.6275697486303656
TOPIX_PROXY,Japan,post10,58,0.1964071075795406,0.26469937186217934,0.06829226428263875,-0.0007928664525388707,0.5,0.3571178054459838,0.5588521699165678
TOPIX_PROXY,Japan,post20,58,0.1964071075795406,0.2418348931312597,0.04542778555171907,-0.008372414243147011,0.5862068965517241,0.37348629364537766,0.5536566646527459
TOPIX_PROXY,Japan,post60,58,0.1964071075795406,0.22373072036400105,0.027323612784460397,-0.003944565133383426,0.5517241379310345,0.43899591976979324,0.5905127169301796
