sample_type,label,max_drawdown
random_same_length,MR_1996_006,-0.00775459140290502
random_same_length,MR_1996_006,-0.04110312075553535
random_same_length,MR_1996_006,-0.013675504972140873
random_same_length,MR_1996_006,-0.04081295919400363
random_same_length,MR_1996_006,-0.024964023066834873
random_same_length,MR_1996_006,-0.038756789747388054
random_same_length,MR_1996_006,-0.03927266925611961
random_same_length,MR_1996_006,-0.03398950696744918
random_same_length,MR_1996_006,-0.046733034675477514
random_same_length,MR_1996_006,-0.10367420789946213
random_same_length,MR_1996_006,-0.044667527258537953
mercury_retrograde,MR_1996_007,-0.026136667815392367
random_same_length,MR_1996_007,-0.12615733207225843
random_same_length,MR_1996_007,-0.0344331280011857
random_same_length,MR_1996_007,-0.016652749054007043
random_same_length,MR_1996_007,-0.008098056110305896
random_same_length,MR_1996_007,-0.00926595136201136
random_same_length,MR_1996_007,-0.02213858436848437
random_same_length,MR_1996_007,-0.012201384460034048
random_same_length,MR_1996_007,-0.11297318168872572
random_same_length,MR_1996_007,-0.006355361156555994
random_same_length,MR_1996_007,-0.009354426551109074
random_same_length,MR_1996_007,-0.02213858436848437
random_same_length,MR_1996_007,-0.07636691132203388
random_same_length,MR_1996_007,-0.03903431139608626
random_same_length,MR_1996_007,-0.02775130649313562
random_same_length,MR_1996_007,-0.019162024044093506
random_same_length,MR_1996_007,-0.02786203342292426
random_same_length,MR_1996_007,-0.00934837340624417
random_same_length,MR_1996_007,-0.0074196634539678286
random_same_length,MR_1996_007,-0.014799936551350257
random_same_length,MR_1996_007,-0.0878694586498251
mercury_retrograde,MR_1997_008,-0.01766850533955633
random_same_length,MR_1997_008,-0.02979253549421801
random_same_length,MR_1997_008,-0.01903426031711075
random_same_length,MR_1997_008,-0.02008455608940507
random_same_length,MR_1997_008,-0.04815473616313104
random_same_length,MR_1997_008,-0.025821825694385292
random_same_length,MR_1997_008,-0.04022590812113669
random_same_length,MR_1997_008,-0.0314460464269497
random_same_length,MR_1997_008,-0.03402791822279749
random_same_length,MR_1997_008,-0.035772931132549535
random_same_length,MR_1997_008,-0.0031562949349001057
random_same_length,MR_1997_008,-0.005051568068462853
random_same_length,MR_1997_008,-0.014532317014412599
random_same_length,MR_1997_008,-0.048267867679132825
random_same_length,MR_1997_008,-0.02884987225389324
random_same_length,MR_1997_008,-0.0295942806915922
random_same_length,MR_1997_008,-0.04331532887684042
