condition,n,crash_rate,crash_5d_return_rate,crash_10d_return_rate,crash_20d_drawdown_rate,vix_5d_spike_rate
P(crash | Mercury),1152,0.2170138888888889,0.1423611111111111,0.13541666666666666,0.1918402777777778,0.10677083333333333
P(crash | Non-Mercury),4856,0.15980230642504117,0.12088138385502471,0.09452224052718286,0.1377677100494234,0.07784184514003295
P(crash | high UMID),1503,0.24218230206254157,0.15568862275449102,0.13439787092481703,0.2208915502328676,0.09048569527611444
P(crash | low UMID),4505,0.1469478357380688,0.11476137624861266,0.09167591564927859,0.12386237513873474,0.08102108768035517
P(crash | Mercury & high UMID),273,0.326007326007326,0.19047619047619047,0.17582417582417584,0.304029304029304,0.12454212454212454
P(crash | Mercury & low UMID),879,0.1831626848691695,0.12741751990898748,0.12286689419795221,0.15699658703071673,0.1012514220705347
P(crash | Non-Mercury & high UMID),1230,0.22357723577235772,0.14796747967479676,0.12520325203252033,0.20243902439024392,0.08292682926829269
P(crash | Mercury & high ShockSimilarity),273,0.20512820512820512,0.12454212454212454,0.13553113553113552,0.18315018315018314,0.15018315018315018
P(crash | Mercury & low ShockSimilarity),879,0.22070534698521047,0.14789533560864618,0.1353811149032992,0.1945392491467577,0.09328782707622298
