metric,mercury_value,random_mean,random_median,percentile_low_to_high
mean_return_1d,-0.00015272957410071748,0.0004122661881667946,0.0004203015911546611,2.37
max_drawdown,-0.4802953644906319,-0.4824856808518578,-0.48553176491526984,54.6
crash_rate,0.2170138888888889,0.17123082234747564,0.17013232514177692,91.69
vix_spike_rate,0.10677083333333333,0.08339954627407199,0.08298669244179022,95.36
UMID_mean,0.04904744884064737,0.04998109673420433,0.04988578688066053,43.52
ShockSimilarity_mean,0.28259586135732234,0.2841877239502255,0.28419903601507557,38.82
