model,term,coef,std_err,pvalue,odds_ratio,bh_pvalue
calendar_only,const,-1.659699747214992,0.039163220411887606,0.0,0.19019607843137193,0.0
calendar_only,MR,0.3765461450146137,0.08150095265173876,3.834736266128964e-06,1.4572427823622225,7.44389981072093e-06
regime_only,const,-7.18269591360974,0.378890572084352,3.852707999369314e-80,0.0007596172168454129,4.237978799306245e-79
regime_only,VIX_level,0.08251255717636725,0.009733863586593791,2.313615810432861e-17,1.0860123106015553,9.543665218035551e-17
regime_only,MOVE_level,0.012544211583174173,0.001591493492520938,3.2208500823521665e-15,1.012623220226705,8.176004055201654e-15
regime_only,US10Y_5d_change,0.2623000922433811,0.29994648482981967,0.3818516620335862,1.2999165787853482,0.4906631273840079
regime_only,DXY_5d_change,-0.16000353290323668,3.4744664266792467,0.9632693991219092,0.8521407784299792,0.9887285757362447
regime_only,realized_vol_20d,0.32936937928044785,0.6495944492064816,0.6121278223051685,1.3900912316654397,0.6965592460713986
regime_only,MID,0.5866104967417018,0.31721332486319725,0.06442001310398518,1.7978841418576568,0.10629302162157554
regime_only,UMID,4.014492270212862,0.6569776441066866,9.929070589221487e-10,55.39516248708059,2.184395529628727e-09
regime_only,ShockSimilarity,8.381026438218449,0.7695046151194639,1.2659846050405536e-27,4363.485476616582,8.355498393267655e-27
calendar_plus_regime,const,-7.2566396299328675,0.3811428345131787,8.081241645425493e-81,0.0007054747130322249,1.3334048714952064e-79
calendar_plus_regime,MR,0.39139220877614705,0.0868578006615209,6.602183941961708e-06,1.4790384915460992,1.2104003893596464e-05
calendar_plus_regime,VIX_level,0.0804496236923195,0.009737268528803198,1.4321335603638625e-16,1.0837742487220317,5.251156388000829e-16
calendar_plus_regime,MOVE_level,0.012644800478354921,0.0015972186599060001,2.43775143269431e-15,1.0127250840007582,7.271873685036568e-15
calendar_plus_regime,US10Y_5d_change,0.2913142959149792,0.3003760447024377,0.33213024652985146,1.3381851039743757,0.4571729554947894
calendar_plus_regime,DXY_5d_change,-0.2117314614021159,3.48768033666302,0.9515914489939226,0.8091819649831602,0.9887285757362447
calendar_plus_regime,realized_vol_20d,0.46724245279824267,0.6521230218120158,0.4736861624025658,1.5955882113504576,0.5582729771173096
calendar_plus_regime,MID,0.5898211690777897,0.31729728146556396,0.0630425416957447,1.8036658353303798,0.10629302162157554
calendar_plus_regime,UMID,4.082933632838624,0.658527994566409,5.643044659376258e-10,59.31923570047049,1.3301462411386894e-09
calendar_plus_regime,ShockSimilarity,8.369465154402558,0.7743915552375559,3.16178705046524e-27,4313.3284809041115,1.738982877755882e-26
full_interactions,const,-7.328766770913799,0.39146419767137897,3.3118528443320652e-78,0.0006563825582623248,2.732278596573954e-77
full_interactions,MR,0.70378024851727,0.39012090618590034,0.07123044952649968,2.0213795998488098,0.11164389178155529
full_interactions,VIX_level,0.07953235066150809,0.009799847759702425,4.831036804908109e-16,1.0827805876311225,1.5942421456196761e-15
full_interactions,MOVE_level,0.012652872682179406,0.0016002846789989486,2.644317703649661e-15,1.0127332589570495,7.271873685036568e-15
full_interactions,US10Y_5d_change,0.2914636131714297,0.3007533496187601,0.3324894221780287,1.3383849330213153,0.4571729554947894
full_interactions,DXY_5d_change,-0.30674519617926677,3.4946015632151184,0.9300540197969843,0.7358380713741706,0.9887285757362447
full_interactions,realized_vol_20d,0.5606588507060454,0.6618031275149383,0.39690113447673325,1.751826312162119,0.4906631273840079
full_interactions,MID,0.5681815990835463,0.3184935914814437,0.07442926118770353,1.765054554695578,0.11164389178155529
full_interactions,UMID,4.088067615387523,0.7334196475703328,2.4898205405332445e-08,59.62456272252738,5.135254864849817e-08
full_interactions,ShockSimilarity,8.650333332681992,0.842737935928756,1.0178488022240332e-24,5712.050429543222,4.798430067627585e-24
full_interactions,MR_x_UMID,0.023266021866699373,1.6469065266991134,0.9887285757362447,1.0235387870324855,0.9887285757362447
full_interactions,MR_x_ShockSimilarity,-1.1018128086636347,1.3131960443534694,0.40145164967782465,0.33226819873632296,0.4906631273840079
