market,period,months,ann_return,ann_vol,sharpe,max_drawdown,win_rate,calmar,buy_hold_ann_return,excess_ann_return_vs_bh
Germany_EWG,2001-2012,144,0.08102652606217564,0.1579629534859063,0.5129463856815323,-0.3489746736613163,0.3611111111111111,0.23218454569231223,0.03949830483158201,0.04152822123059363
Germany_EWG,2013-2019,84,0.021081963372168833,0.10492164039628228,0.20093055438843327,-0.20308782312727536,0.2976190476190476,0.10380712662893996,0.04759963771617204,-0.026517674344003206
Germany_EWG,2020-2022,36,-0.12066223516227503,0.18056436226329847,-0.6682505542612317,-0.3426580153166786,0.2222222222222222,-0.3521360358395851,-0.03101154733936229,-0.08965068782291274
Germany_EWG,2023-present,41,0.13925245963124033,0.15329344323941307,0.9084045389583716,-0.14120050655680205,0.5609756097560976,0.986203683166122,0.19853432650686664,-0.05928186687562631
Korea_EWY,1990-2000,7,0.0,0.0,,0.0,0.0,,-0.5392187266089988,0.5392187266089988
Korea_EWY,2001-2012,144,0.0961619968487668,0.21931640192933652,0.43846240410122217,-0.3266090561042069,0.4166666666666667,0.29442538426762316,0.155661553463448,-0.059499556614681204
Korea_EWY,2013-2019,84,0.025450557863867962,0.12811137761775943,0.1986596220969829,-0.26560389935393236,0.38095238095238093,0.09582147673951745,0.015556852900377782,0.00989370496349018
Korea_EWY,2020-2022,36,0.06598488169447281,0.14815113042009997,0.4453889856079053,-0.18727179764859647,0.25,0.3523482047109368,-0.018353720157968545,0.08433860185244135
Korea_EWY,2023-present,41,0.21262649671031486,0.34162646067713726,0.622394694746034,-0.25000963668282616,0.2926829268292683,0.8504732038791877,0.4383268187232343,-0.22570032201291945
Taiwan_EWT,1990-2000,6,0.0,0.0,,0.0,0.0,,-0.6514898955652524,0.6514898955652524
Taiwan_EWT,2001-2012,144,-0.004728235551937687,0.1732746977058563,-0.02728751291757633,-0.42182083676009074,0.2916666666666667,-0.011209108559582267,0.04249702090634022,-0.04722525645827791
Taiwan_EWT,2013-2019,84,0.0414644633522776,0.11993382290770105,0.34572785513714444,-0.18734788153756454,0.44047619047619047,0.2213233638511343,0.08777051865482766,-0.04630605530255005
Taiwan_EWT,2020-2022,36,0.13080907853686896,0.1813516594069402,0.721300698127844,-0.16063647034234252,0.4722222222222222,0.8143174352504975,0.06415205475505426,0.0666570237818147
