universe,period,months,ann_return,ann_vol,sharpe,max_drawdown,win_rate,calmar,avg_n
all_theme_watchlist,2013-2019,84,-0.05875871019123602,0.20809406113452916,-0.282366108243952,-0.4908817530335341,0.5,-0.11970033481204174,38.0
all_theme_watchlist,2020-2022,36,0.15429808984653293,0.30175825483222307,0.5113301372064282,-0.29646509275935373,0.6111111111111112,0.5204595536371616,38.0
all_theme_watchlist,2023-present,41,0.15222009899133204,0.33407765546127194,0.45564286178061436,-0.3592417306998783,0.6341463414634146,0.42372610413265555,38.4390243902439
semiconductor_related,2013-2019,84,0.15353197553175568,0.27202986384539857,0.5643938255948684,-0.39259498869741194,0.5476190476190477,0.39106962633720393,15.0
semiconductor_related,2020-2022,36,0.2492180438251297,0.28972780125109876,0.8601799438954758,-0.24743549492995642,0.5277777777777778,1.0072040953367578,15.0
semiconductor_related,2023-present,41,0.18968654891644876,0.41677150998745033,0.4551331949781321,-0.39810136501360605,0.5609756097560976,0.47647801687383257,15.439024390243903
ai_infra,2013-2019,84,-0.05260815296869015,0.40687168057201367,-0.12929912667976615,-0.5954464728321286,0.5,-0.08835076764913799,8.0
ai_infra,2020-2022,36,0.11348446693262981,0.5133219908306935,0.2210785217850911,-0.4375504822136659,0.5555555555555556,0.25936313990213533,8.0
ai_infra,2023-present,41,0.7310311919846904,0.6382885628468343,1.145298904815424,-0.4770317719629402,0.6585365853658537,1.5324580771141654,8.0
defense,2013-2019,84,-0.15088719680135376,0.5070036641663718,-0.2976057323953394,-0.8361082153700402,0.5,-0.18046371752796966,7.0
defense,2020-2022,36,0.06773573229491103,0.4603458062218381,0.14714097832417214,-0.5033763354774247,0.5555555555555556,0.13456280623654554,7.0
defense,2023-present,41,0.21292749614030804,0.4962992336091986,0.4290304754086599,-0.5739063447207984,0.6341463414634146,0.37101436166191165,7.0
low_pbr_reform_proxy,2013-2019,84,-0.05570796346488882,0.21830217583128647,-0.2551873945037652,-0.6793734294570631,0.5476190476190477,-0.08199903182761963,14.0
low_pbr_reform_proxy,2020-2022,36,-0.15103809636723287,0.3970524662115636,-0.3803983332690205,-0.6751748448302441,0.5277777777777778,-0.22370219732520932,14.0
low_pbr_reform_proxy,2023-present,41,0.21885467773472378,0.3717200666638614,0.5887620749100678,-0.26484437897174107,0.5365853658536586,0.8263519829434463,14.0
ff_japan_broad_wml,2001-2012,144,0.005091992745187124,0.13219335478672334,0.03851927922853904,-0.3937387134183672,0.5902777777777778,0.012932415766230804,
ff_japan_broad_wml,2013-2019,84,-0.007407093054568992,0.10912072045515947,-0.06787980342938404,-0.26342673801771466,0.5595238095238095,-0.0281182279001264,
ff_japan_broad_wml,2020-2022,36,-0.01454645438077462,0.10873733216980913,-0.13377608306646901,-0.2062196773758851,0.5555555555555556,-0.07053863416855317,
ff_japan_broad_wml,2023-present,39,0.0332792247163094,0.09262799641534467,0.3592782528414529,-0.08463385620046826,0.5128205128205128,0.3932140896130557,
