regime,state,strategy,months,ann_return,ann_vol,sharpe,max_drawdown,win_rate,calmar
yen_weakening_6m,True,jp_tsmom_12m_skip1,115,0.13292506848831342,0.1461469533381245,0.9095302054007174,-0.23176654981647737,0.5391304347826087,0.5735299964277379
yen_weakening_6m,True,ff_japan_wml,180,-0.001652866719511703,0.15017888162183518,-0.011005986338836773,-0.4351570187885183,0.55,-0.003798322555185485
yen_weakening_6m,False,jp_tsmom_12m_skip1,105,0.006212684342149055,0.09838027717583256,0.06314969341919298,-0.33209334447832806,0.22857142857142856,0.01870764483976127
yen_weakening_6m,False,ff_japan_wml,245,-0.00036438663581728203,0.1373581816619274,-0.0026528207596263034,-0.41503471938424696,0.563265306122449,-0.0008779666345935894
low_vix,True,jp_tsmom_12m_skip1,115,0.21937468771056223,0.11189880225019498,1.9604739577110173,-0.09901006367342624,0.5478260869565217,2.2156807052881553
low_vix,True,ff_japan_wml,210,-0.018245475442515313,0.11653759915291943,-0.15656299404773036,-0.5328488936892575,0.5523809523809524,-0.034241368723110385
low_vix,False,jp_tsmom_12m_skip1,105,-0.0716488577188319,0.1297092830545936,-0.5523803387971504,-0.6267861967843176,0.21904761904761905,-0.11431147987371341
low_vix,False,ff_japan_wml,215,0.016317192348092036,0.16445602165741285,0.099219184458221,-0.4253584858135484,0.5627906976744186,0.03836103637825275
low_nikkeivi_proxy,True,jp_tsmom_12m_skip1,104,0.18129024752773626,0.09561334413511156,1.8960768412362436,-0.10382468813979528,0.5,1.7461188738042446
low_nikkeivi_proxy,True,ff_japan_wml,206,0.0541318511725104,0.12438366403958874,0.43520064785421786,-0.29213902962187044,0.6019417475728155,0.1852948277488833
low_nikkeivi_proxy,False,jp_tsmom_12m_skip1,116,-0.0198394798583712,0.145103103213494,-0.13672677853884938,-0.4878088958675386,0.29310344827586204,-0.040670598725117316
low_nikkeivi_proxy,False,ff_japan_wml,219,-0.05005914354797558,0.15714836160819293,-0.3185470280166494,-0.6621010100021655,0.5159817351598174,-0.07560650533943734
sox_up_6m,True,jp_tsmom_12m_skip1,158,0.1291731704493866,0.1294661221731771,0.9977372325758035,-0.1804437315287739,0.4620253164556962,0.7158639945815374
sox_up_6m,True,ff_japan_wml,246,0.01526472844772786,0.14915197112935105,0.10234345769718073,-0.46741669042680056,0.556910569105691,0.032657645223985385
sox_up_6m,False,jp_tsmom_12m_skip1,62,-0.06537920780471596,0.11067888357714321,-0.590710763351228,-0.3589865233150189,0.20967741935483872,-0.18212162172824578
sox_up_6m,False,ff_japan_wml,179,-0.022720068644073055,0.13361540709281108,-0.17004078450542298,-0.3991174916801419,0.5586592178770949,-0.05692576526383169
nikkei_topix_ratio_up_6m,True,jp_tsmom_12m_skip1,111,0.09413893860431366,0.12644125373323967,0.7445270892593643,-0.20626171964733275,0.35135135135135137,0.4564052833714024
nikkei_topix_ratio_up_6m,True,ff_japan_wml,109,-0.04330208134936464,0.13326112242613578,-0.3249415925741298,-0.4974576082302662,0.4954128440366973,-0.08704677671613922
nikkei_topix_ratio_up_6m,False,jp_tsmom_12m_skip1,109,0.04709580065682317,0.12708985645885884,0.37057088558494744,-0.22724926052016758,0.43119266055045874,0.2072429214907988
nikkei_topix_ratio_up_6m,False,ff_japan_wml,316,0.014143755360060961,0.14585209523797332,0.09697327513179642,-0.41503471938424696,0.5791139240506329,0.034078487171012806
tse_reform_period,True,jp_tsmom_12m_skip1,39,0.23389242056525994,0.12805179599536615,1.8265454127150538,-0.10376896720509055,0.717948717948718,2.2539727132774816
tse_reform_period,True,ff_japan_wml,37,0.044526709889947336,0.09192765059411975,0.4843668863739626,-0.08463385620046815,0.5135135135135135,0.5261099031630918
tse_reform_period,False,jp_tsmom_12m_skip1,181,0.03831734365321804,0.12488407739336803,0.3068232912713409,-0.2815408634475618,0.32044198895027626,0.13609869339750325
tse_reform_period,False,ff_japan_wml,388,-0.0051385985891236885,0.14682643100527665,-0.03499777631276087,-0.41958235334050564,0.5618556701030928,-0.012246936860458326
